mean_D,mean_zp,mean_zc,mean_zm,std_D,std_zp,std_zc,std_zm,H,J,T,O,U,noPer,noSkill,costPer,costCas,costTrain,costTot
0.5083713850837138,5500.0,8482.181002640466,262.44444444444446,0.5001202557320694,3027.6503540974913,4669.286966575167,199.70109608556928,3,3,438,1,1,1.0,2.0,438000,282.0,854,1057282
1.0121951219512195,5500.0,9850.614201287559,137.25,0.8224727032943551,3027.6503540974913,5422.584649928373,108.69232603606584,8,3,492,1,2,2.0,4.0,1476000,602.0,796,2956179
0.5063168124392614,5500.0,6040.702363479816,211.52777777777777,0.5000816080403171,3027.6503540974913,3325.2972090522217,108.58478875609765,6,6,343,1,1,2.0,8.0,1029000,405.0,1926,1931540
0.9607843137254902,5500.0,10674.423052647067,164.93333333333334,0.8248783551941996,3027.6503540974913,5876.076497296967,128.40809201618913,5,3,102,1,2,2.0,4.0,306000,114.0,997,607822
0.9956647398843931,5500.0,7078.822695925238,210.8,0.7988658695908737,3027.6503540974913,3896.7636439838925,135.4732834411117,5,4,173,1,2,2.0,5.0,519000,352.0,1345,1328618
0.4992138364779874,5500.0,6480.258166075982,337.84375,0.5001960385448747,3027.6503540974913,3567.2647147569287,140.6847448042428,8,8,159,1,1,3.0,11.0,954000,185.0,3909,1463369
1.0098425196850394,5500.0,6025.120317335441,292.92857142857144,0.8367198888455406,3027.6503540974913,3316.71957495648,179.90963340098327,7,4,127,1,2,2.0,6.0,381000,273.0,2314,940911
0.9992559523809523,5500.0,6360.293881568422,362.0,0.8199845883957443,3027.6503540974913,3501.226549580862,216.3218927670581,8,4,336,1,2,2.0,6.0,1008000,694.0,2933,2465706
1.0376522702104098,5500.0,9050.043274874526,267.4,0.8228444411270099,3027.6503540974913,4981.884859231178,200.426616424637,5,3,301,1,2,2.0,4.0,903000,390.0,1622,1784944
0.9948453608247423,5500.0,8013.404235458869,391.3888888888889,0.8328295464848942,3027.6503540974913,4411.2338492751605,288.29970902209084,6,3,194,1,2,2.0,4.0,582000,235.0,2444,1047764
0.9964349376114082,5500.0,5893.263279765916,221.57142857142858,0.81063563009356,3027.6503540974913,3244.134664686004,166.9097275261605,7,3,187,1,2,1.0,2.0,187000,378.0,543,866876
0.5171232876712328,5500.0,5793.496057829935,325.77777777777777,0.49999217215007496,3027.6503540974913,3189.2146165365866,246.9664844557748,3,3,292,1,1,1.0,2.0,292000,202.0,1088,599617
0.48839907192575405,5500.0,7214.328661913803,218.421875,0.49993790240354363,3027.6503540974913,3971.3572232398196,99.28567164124927,8,8,431,1,1,3.0,13.0,2586000,466.0,3058,3962404
0.5333333333333333,5500.0,8176.4445914542885,402.97222222222223,0.5030977485864634,3027.6503540974913,4500.98461137729,191.33717226943511,6,6,10,1,1,2.0,5.0,30000,13.0,2184,69350
